value,count
"45,700",12
"94,000",12
"29,500",12
559,12
800,12
876,12
870,12
"12,980",12
516,12
598,12
565,12
"1,373",12
418,12
"1,275",12
529,12
482,12
566,12
"1,150",12
452,12
726,12
469,12
"11,200",12
528,12
"21,938",12
454,12
"130,000",12
433,12
"30,152",12
"23,700",12
"23,994",12
386,12
"2,995",12
"1,243",12
"71,000",12
"24,600",12
"2,600",12
"8,300",12
"8,500",12
973,12
"10,260",12
"1,115",12
"1,105",12
675,12
638,12
"91,000",12
"17,775",12
"29,400",12
"29,800",12
"64,000",12
462,12
"1,093",12
"21,098",12
"2,063",12
560,12
695,12
584,11
"8,600",11
"24,387",11
784,11
"1,213",11
"16,250",11
724,11
"15,593",11
568,11
"2,200",11
"6,250",11
"5,028",11
789,11
"3,800",11
"81,000",11
"20,100",11
"22,166",11
"22,149",11
"2,040",11
"10,237",11
"1,686",11
478,11
"7,050",11
525,11
"23,523",11
625,11
728,11
357,11
"16,800",11
501,11
"4,100",11
"17,405",11
"1,231",11
"135,000",11
"7,653",11
"11,480",11
"110,000",11
"30,059",11
"1,165",11
"21,200",11
"24,003",11
"19,200",11
"15,359",11
"10,763",11
685,11
610,11
"1,447",11
"17,112",11
"7,802",11
"17,151",11
"106,000",11
"18,700",11
519,11
"27,838",11
342,11
"16,606",11
796,11
"8,006",11
476,11
"7,488",11
"3,865",11
"14,876",11
"2,500",11
"1,900",11
"25,303",11
"30,500",11
"11,400",11
621,11
"9,547",11
376,11
"1,041",11
"82,000",11
447,11
"19,501",11
"1,028",11
"1,508",11
673,11
"20,500",11
"5,289",11
824,11
459,11
"1,635",11
436,11
"1,450",10
"22,780",10
"140,000",10
"25,600",10
"30,001",10
"15,295",10
"2,698",10
"26,600",10
"23,630",10
"16,216",10
"1,025",10
"9,200",10
"1,989",10
"16,075",10
515,10
"15,402",10
"17,764",10
"23,672",10
503,10
"24,089",10
"4,700",10
"6,385",10
577,10
"23,837",10
"13,050",10
700,10
"17,032",10
"27,500",10
"3,970",10
"10,600",10
"2,018",10
543,10
"21,470",10
"6,300",10
"25,625",10
"19,900",10
"23,008",10
"19,409",10
"13,868",10
"24,930",10
"2,785",10
"13,815",10
"2,025",10
"19,700",10
590,10
"3,320",10
"22,681",10
443,10
671,10
"22,855",10
"20,320",10
"26,481",10
"9,540",10
"26,848",10
"2,117",10
"29,991",10
535,10
"17,186",10
"15,920",10
"2,368",10
626,10
"1,354",10
"22,534",10
"18,201",10
"1,112",10
"5,287",10
"3,019",10
"18,500",10
"1,241",10
"160,000",10
"14,997",10
810,10
690,10
"31,500",10
"1,385",10
"26,628",10
"12,851",10
"4,961",10
"2,535",10
"17,679",10
"2,400",10
"8,400",10
837,10
"22,451",10
"22,571",10
"4,969",10
630,10
"27,850",10
"1,505",10
"18,197",10
"19,875",10
708,10
"7,800",10
"21,904",10
"27,322",10
795,10
"22,500",10
"24,900",10
"28,300",10
578,10
"13,252",10
439,10
"4,600",10
"2,019",10
594,10
"25,500",10
"27,999",10
"26,970",10
"10,300",10
"6,100",10
"9,850",10
"26,108",10
"5,339",10
541,10
"1,046",10
836,10
629,10
518,10
"87,000",10
"36,015",10
"9,521",10
"5,250",10
"9,549",10
"14,589",10
"21,010",10
943,10
545,10
"11,021",10
"1,864",10
"1,929",10
"16,656",10
"18,272",10
"6,879",10
"76,000",10
"15,401",10
"32,804",10
"39,500",10
"1,163",10
618,10
"33,500",10
"15,303",10
"12,120",10
"3,300",10
"1,235",10
"1,094",10
"9,600",10
"8,004",10
"23,067",10
"30,800",10
667,10
"10,552",10
"21,299",10
"21,153",10
"14,022",10
"8,357",10
413,10
"12,335",10
"1,114",10
"2,515",10
"11,050",10
468,10
"2,870",10
"24,526",9
"3,854",9
"34,200",9
901,9
"29,977",9
"4,159",9
"25,300",9
"1,350",9
"28,445",9
"15,674",9
962,9
"17,278",9
"15,026",9
